step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
580.0,26,0,3,359,385,0,5.0,0.19230769230769232,7.703557828996779,3,13.0,0.391233145675303,3,13.0
585.0,25,0,8,364,389,0,37.0,1.48,6.362278277167445,8,38.0,0.26221906569013786,8,38.0
590.0,22,0,7,368,390,0,32.0,1.4545454545454546,5.126583296619798,7,64.0,0.24213408713769713,7,64.0
595.0,21,0,0,371,392,0,0.0,0.0,7.040909187079139,0,39.0,0.3741208631871068,0,39.0
600.0,22,0,1,372,394,0,4.0,0.18181818181818182,10.728094213509385,1,14.0,0.6909579372314845,1,14.0
605.0,26,0,3,374,400,0,7.0,0.2692307692307692,9.437049905221574,3,17.0,0.5893697795926164,3,17.0
610.0,24,0,7,380,404,0,37.0,1.5416666666666667,8.145946663311836,7,47.0,0.4987899379008966,7,47.0
615.0,22,0,5,384,406,0,16.0,0.7272727272727273,6.418578988218121,5,52.0,0.40794576954100725,5,52.0
620.0,27,0,3,385,412,0,8.0,0.2962962962962963,8.524782477810081,3,22.0,0.5325609786651951,3,22.0
625.0,29,0,2,386,415,0,5.0,0.1724137931034483,7.786125341281319,2,23.0,0.46093472522502044,2,23.0
630.0,28,0,8,390,418,0,34.0,1.2142857142857142,6.927378282830051,8,49.0,0.33884385821193413,8,49.0
635.0,30,0,7,393,423,0,30.0,1.0,6.3200837233426315,7,68.0,0.33564382976806506,7,68.0
640.0,31,0,3,396,427,0,13.0,0.41935483870967744,7.138350199010135,3,54.0,0.3776329984075863,3,54.0
645.0,31,0,3,399,430,0,25.0,0.8064516129032258,8.88000396432577,3,32.0,0.4596379923819993,3,32.0
650.0,30,0,4,404,434,0,43.0,1.4333333333333333,9.878385576952205,4,43.0,0.6080656336774637,4,43.0
655.0,32,0,1,408,440,0,1.0,0.03125,9.028487876440316,1,23.0,0.5862554716827718,1,23.0
660.0,31,0,6,413,444,0,21.0,0.6774193548387096,8.234406526865536,6,21.0,0.4698645848199291,6,21.0
665.0,30,0,7,417,447,0,20.0,0.6666666666666666,6.646860721534496,7,44.0,0.3542484763394898,7,44.0
670.0,29,0,4,422,451,0,18.0,0.6206896551724138,7.399830660618776,4,42.0,0.3932990690627981,4,42.0
675.0,30,0,6,424,454,0,42.0,1.4,8.495180427134917,6,44.0,0.42206444364008866,6,44.0
680.0,28,0,3,427,455,0,4.0,0.14285714285714285,6.848977729683581,3,41.0,0.32063895688454863,3,41.0
685.0,28,0,8,432,460,0,29.0,1.0357142857142858,7.706230447353039,8,32.0,0.38272593632472945,8,32.0
690.0,25,0,5,436,461,0,23.0,0.92,6.966164805536818,5,52.0,0.33369106309456564,5,52.0
695.0,24,0,3,440,464,0,14.0,0.5833333333333334,7.852808282248212,3,37.0,0.3933850419880138,3,37.0
700.0,24,0,2,443,467,0,2.0,0.08333333333333333,8.345474623253214,2,24.0,0.46733685838194544,2,24.0
705.0,23,0,8,446,469,0,28.0,1.2173913043478262,6.774961012755424,8,44.0,0.24785260760746164,8,44.0
710.0,21,0,6,450,471,0,23.0,1.0952380952380953,6.324729375723522,6,57.0,0.2870609502628891,6,57.0
715.0,19,0,0,454,473,0,0.0,0.0,7.9766430258402945,0,32.0,0.45720981855486004,0,32.0
720.0,23,0,1,454,477,0,3.0,0.13043478260869565,10.96795054854262,1,6.0,0.6818850357298375,1,6.0
725.0,23,0,2,458,481,0,2.0,0.08695652173913043,9.50302990892878,2,5.0,0.5970390627347634,2,5.0
730.0,24,0,6,461,485,0,24.0,1.0,9.205047367030259,6,27.0,0.4981963109294175,6,27.0
735.0,22,0,3,466,488,0,7.0,0.3181818181818182,6.704316306906244,3,33.0,0.3792409149274379,3,33.0
740.0,23,0,1,469,492,0,5.0,0.21739130434782608,8.046107597266653,1,12.0,0.46924819415023883,1,12.0
745.0,27,0,2,470,497,0,13.0,0.48148148148148145,10.52497153819202,2,13.0,0.6540384056480126,2,13.0
750.0,26,0,2,474,500,0,3.0,0.11538461538461539,8.747329284195592,2,3.0,0.5283211817184674,2,3.0
755.0,25,0,8,479,504,0,34.0,1.36,6.716266765961409,8,34.0,0.2856158204605734,8,34.0
760.0,22,0,8,482,504,0,30.0,1.3636363636363635,4.281655481557416,8,61.0,0.11954862233054742,8,61.0
765.0,24,0,2,486,510,0,4.0,0.16666666666666666,7.644471019160672,2,53.0,0.45175629816376556,2,53.0
770.0,29,0,0,486,515,0,0.0,0.0,9.803707879699262,0,19.0,0.6033773347507412,0,19.0
775.0,26,0,0,489,515,0,0.0,0.0,10.486453820935013,0,2.0,0.7610572658852378,0,2.0
780.0,26,0,1,493,519,0,2.0,0.07692307692307693,8.998870230556927,1,2.0,0.5492299514628269,1,2.0
785.0,22,0,6,499,521,0,24.0,1.0909090909090908,7.998611638088366,6,24.0,0.40393033732008055,6,24.0
790.0,22,0,3,505,527,0,9.0,0.4090909090909091,8.302120493633545,3,35.0,0.5570023878622586,3,35.0
795.0,22,0,2,508,530,0,8.0,0.36363636363636365,10.450433666996819,2,10.0,0.7085898137801353,2,10.0
800.0,24,0,1,508,532,0,1.0,0.041666666666666664,7.960703550405154,1,2.0,0.40081825938145926,1,2.0
805.0,24,0,4,512,536,0,17.0,0.7083333333333334,8.530185863958122,4,17.0,0.4439560437459501,4,17.0
810.0,22,0,1,516,538,0,5.0,0.22727272727272727,9.328917791402434,1,25.0,0.5529691624228829,1,25.0
815.0,21,0,1,520,541,0,4.0,0.19047619047619047,10.207534046617802,1,4.0,0.6123952486466053,1,4.0
820.0,22,0,1,524,546,0,1.0,0.045454545454545456,9.55959522418883,1,1.0,0.6167312256816408,1,1.0
825.0,25,0,5,527,552,0,15.0,0.6,9.437851109081365,5,15.0,0.5998789098384528,5,15.0
830.0,27,0,2,532,559,0,6.0,0.2222222222222222,8.782786909916627,2,23.0,0.5943547205444286,2,23.0
835.0,27,0,2,535,562,0,6.0,0.2222222222222222,8.924818306667866,2,10.0,0.5461057269640341,2,10.0
840.0,27,0,2,536,563,0,2.0,0.07407407407407407,7.560876552658486,2,6.0,0.3795993104458025,2,6.0
845.0,26,0,6,541,567,0,21.0,0.8076923076923077,7.092028223463233,6,25.0,0.3446742296766057,6,25.0
850.0,26,0,6,544,570,0,21.0,0.8076923076923077,7.1826700343534515,6,45.0,0.37656316188398664,6,45.0
855.0,27,0,0,548,575,0,0.0,0.0,9.09113327947505,0,31.0,0.5593480511773399,0,31.0
860.0,29,0,2,551,580,0,5.0,0.1724137931034483,10.40866662060936,2,9.0,0.6494860329457284,2,9.0
865.0,30,0,2,555,585,0,4.0,0.13333333333333333,8.159627393138464,2,9.0,0.5310960244426954,2,9.0
870.0,28,0,7,559,587,0,32.0,1.1428571428571428,7.025807676131273,7,36.0,0.3392838474971403,7,36.0
875.0,31,0,7,563,594,0,26.0,0.8387096774193549,7.2300657881312365,7,58.0,0.42510857940976204,7,58.0
880.0,29,0,2,567,596,0,6.0,0.20689655172413793,7.070400600446198,2,46.0,0.366232937338686,2,46.0
885.0,31,0,3,569,600,0,13.0,0.41935483870967744,8.136711729089606,3,30.0,0.42604031009271076,3,30.0
890.0,32,0,2,572,604,0,3.0,0.09375,7.732334913965095,2,28.0,0.4443056709752913,2,28.0
895.0,31,0,7,577,608,0,28.0,0.9032258064516129,6.782534254896587,7,45.0,0.34477392749206215,7,45.0
900.0,31,0,8,580,611,0,28.0,0.9032258064516129,5.48946429999566,8,66.0,0.2680247235042224,8,66.0
905.0,31,0,5,583,614,0,16.0,0.5161290322580645,6.274760511585557,5,48.0,0.2743005393776766,5,48.0
910.0,30,0,3,586,616,0,24.0,0.8,8.185229764488447,3,43.0,0.4754847899934986,3,43.0
915.0,31,0,4,589,620,0,40.0,1.2903225806451613,9.455251560725113,4,42.0,0.615340444328624,4,42.0
920.0,27,0,2,594,621,0,2.0,0.07407407407407407,7.313796202047461,2,20.0,0.37070080032426067,2,20.0
925.0,27,0,8,599,626,0,26.0,0.9629629629629629,7.386471911806801,8,28.0,0.32932221976701215,8,28.0
930.0,26,0,5,604,630,0,22.0,0.8461538461538461,7.425409850812395,5,48.0,0.4241246961333244,5,48.0
935.0,27,0,0,608,635,0,0.0,0.0,7.961152043560488,0,27.0,0.4754167144988692,0,27.0
940.0,28,0,1,610,638,0,3.0,0.10714285714285714,9.858406670017285,1,3.0,0.5652066740345547,1,3.0
945.0,31,0,1,613,644,0,8.0,0.25806451612903225,10.717409713964578,1,8.0,0.7021227322288103,1,8.0
950.0,29,0,3,617,646,0,21.0,0.7241379310344828,10.529769727329782,3,21.0,0.6835299062285233,3,21.0
955.0,25,0,1,623,648,0,1.0,0.04,8.632791700495362,1,8.0,0.4682576415207727,1,8.0
960.0,22,0,5,629,651,0,17.0,0.7727272727272727,8.273754602805248,5,17.0,0.3911744377910271,5,17.0
965.0,20,0,2,634,654,0,4.0,0.2,7.256955332502168,2,23.0,0.3780906477285208,2,23.0
970.0,20,0,0,638,658,0,0.0,0.0,9.612029880562758,0,5.0,0.5879645315013728,0,5.0
975.0,24,0,0,639,663,0,0.0,0.0,11.726490705042787,0,0.0,0.8040295809050314,0,0.0
980.0,23,0,2,643,666,0,2.0,0.08695652173913043,8.293985421540395,2,2.0,0.5117908477607892,2,2.0
985.0,26,0,6,645,671,0,27.0,1.0384615384615385,6.911822336594383,6,27.0,0.4087706255052659,6,27.0
990.0,24,0,7,651,675,0,23.0,0.9583333333333334,6.128152271511911,7,52.0,0.39151537492834443,7,52.0
995.0,28,0,1,651,679,0,1.0,0.03571428571428571,8.027613433909405,1,38.0,0.45554756895380677,1,38.0
1000.0,28,0,2,654,682,0,2.0,0.07142857142857142,8.710819515972931,2,12.0,0.45065928346110495,2,12.0
